timestamp,breathing_rate (/api/v1/datatype/33/),heart_rate (/api/v1/datatype/19/),minute_ventilation (/api/v1/datatype/36/),cadence (/api/v1/datatype/53/),activity (/api/v1/datatype/49/)
362316153607,15,46,12204.32,0,0.015625
362316153863,15,46,12204.32,0,0.0
362316154119,15,46,12230.88,0,0.015625
362316154375,15,46,12230.88,0,0.015625
362316154631,15,46,12230.88,0,0.0
362316154887,15,46,12230.88,0,0.015625
362316155143,15,46,12031.68,0,0.015625
362316155399,15,46,12031.68,0,0.0
362316155655,15,45,12031.68,0,0.015625
362316155911,15,45,12031.68,0,0.0
362316156167,15,45,11925.44,0,0.0
362316156423,15,45,11925.44,0,0.015625
362316156679,15,45,11925.44,0,0.0
362316156935,14,45,11925.44,0,0.015625
362316157191,15,45,11633.28,0,0.0
362316157447,15,45,11633.28,0,0.0
362316157703,15,45,11633.28,0,0.015625
362316157959,15,45,11633.28,0,0.0
362316158215,15,45,11779.36,0,0.0
362316158471,15,45,11779.36,0,0.015625
362316158727,15,44,11779.36,0,0.0
362316158983,15,44,11779.36,0,0.0
362316159239,15,44,11779.36,0,0.015625
362316159495,15,45,11513.76,0,0.0
362316159751,15,45,11513.76,0,0.015625
362316160007,15,45,11513.76,0,0.0
362316160263,15,45,11513.76,0,0.0
362316160519,15,45,11261.44,0,0.015625
362316160775,15,45,11261.44,0,0.0
362316161031,15,45,11261.44,0,0.0
362316161287,14,45,11261.44,0,0.015625
362316161543,14,45,11527.04,0,0.015625
362316161799,14,45,11527.04,0,0.0
362316162055,15,45,11527.04,0,0.0
362316162311,15,45,11527.04,0,0.0
362316162567,15,45,11460.64,0,0.015625
362316162823,15,45,11460.64,0,0.0
362316163079,15,45,11460.64,0,0.0
362316163335,15,45,11460.64,0,0.015625
362316163591,15,45,11394.24,0,0.0
362316163847,15,46,11394.24,0,0.0
362316164103,15,46,11394.24,0,0.015625
362316164359,15,46,11394.24,0,0.0
362316164615,14,46,11859.04,0,0.0
362316164871,14,46,11859.04,0,0.015625
362316165127,14,46,11859.04,0,0.0
362316165383,14,46,11859.04,0,0.015625
362316165639,14,46,12230.88,0,0.0
362316165895,15,46,12230.88,0,0.0
362316166151,15,46,12230.88,0,0.015625
362316166407,15,46,12775.36,0,0.0
