AethLabs,,,,,,,,,,,,
Device ID = AE51-S4-655-1303,,,,,,,,,,,,
Application version = 2.1.1.0,,,,,,,,,,,,
Flow = 48 mlpm,,,,,,,,,,,,
TimeBase = 30 s,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,,,
7/10/14,13:31:00,866784,811834,6.549,49,34,0,100,3513,,,
7/10/14,13:31:30,866815,811748,6.564,48,34,0,100,3354,,,
7/10/14,13:32:00,866844,811648,6.579,48,34,0,100,3707,,,
7/10/14,13:32:30,866878,811558,6.594,48,34,0,100,3553,,,
7/10/14,13:33:00,866838,811401,6.609,48,34,0,100,3487,,,
7/10/14,13:33:30,866828,811268,6.624,48,34,0,100,3607,,,
7/10/14,13:34:00,866860,811189,6.638,48,34,0,100,3178,,,
7/10/14,13:34:30,866887,811093,6.653,48,34,0,100,3538,,,
7/10/14,13:35:00,866902,810988,6.667,48,34,0,100,3473,,,
7/10/14,13:35:30,866906,810871,6.682,48,34,0,100,3524,,,
7/10/14,13:36:00,866891,810727,6.698,48,34,0,100,3794,,,
7/10/14,13:36:30,866881,810409,6.736,48,34,0,100,9012,,,
7/10/14,13:37:00,866861,809908,6.796,48,33,0,100,14089,,,
7/10/14,13:37:30,866798,809171,6.88,47,33,0,100,20248,,,
7/10/14,13:38:00,866836,809018,6.903,46,33,2,100,5753,,,
7/10/14,13:38:30,866897,808982,6.914,48,33,0,100,2719,,,
7/10/14,13:39:00,866885,808947,6.917,48,33,0,100,696,,,
7/10/14,13:39:30,866881,808889,6.924,48,33,0,100,1588,,,
7/10/14,13:40:00,866848,808779,6.934,48,33,0,100,2318,,,
7/10/14,13:40:30,866857,808654,6.95,48,33,0,100,3904,,,
7/10/14,13:41:00,866893,808516,6.972,49,33,0,100,4920,,,
7/10/14,13:41:30,866928,808455,6.983,48,33,0,100,2741,,,
7/10/14,13:42:00,866925,808308,7.001,49,33,0,100,4136,,,
7/10/14,13:42:30,866879,807905,7.045,49,34,0,100,10331,,,
7/10/14,13:43:00,866885,807608,7.083,48,34,0,100,8866,,,
7/10/14,13:43:30,866954,807586,7.094,48,34,0,100,2528,,,
7/10/14,13:44:00,866903,807453,7.104,48,34,0,100,2506,,,
7/10/14,13:44:30,866925,807405,7.113,49,34,0,100,1967,,,
7/10/14,13:45:00,866856,807242,7.125,48,34,0,100,2895,,,
7/10/14,13:45:30,866890,807186,7.136,49,34,0,100,2518,,,
7/10/14,13:46:00,866942,807217,7.138,48,34,0,100,511,,,
7/10/14,13:46:30,866846,807081,7.144,48,34,0,100,1367,,,
7/10/14,13:47:00,866815,806992,7.151,48,34,0,100,1764,,,
7/10/14,13:47:30,866864,807015,7.154,48,34,0,100,663,,,
7/10/14,13:48:00,866898,806976,7.163,48,34,0,100,2072,,,
7/10/14,13:48:30,866853,806879,7.17,48,34,0,100,1616,,,
7/10/14,13:49:00,866907,806892,7.174,48,34,0,100,1093,,,
7/10/14,13:49:30,866882,806709,7.194,48,34,0,100,4686,,,
7/10/14,13:50:00,866857,806594,7.205,49,34,0,100,2637,,,
