time [s],RR_interval_quality [NA](/api/datatype/1004/)
2952.3203125,0
2953.16015625,0
2954.04296875,0
2954.96875,0
2955.765625,0
2956.55078125,0
2957.36328125,0
2958.3203125,0
2959.37109375,128
2959.88671875,128
2961.20703125,128
2961.71875,128
2962.98046875,128
2963.80859375,0
2964.78125,0
2965.94921875,128
2966.5078125,128
2967.8125,128
2968.7578125,0
2969.96484375,128
2970.93359375,0
2972.18359375,0
2973.4609375,0
2974.5546875,0
2975.78125,0
2976.96875,0
2978.04296875,0
2979.203125,0
2980.36328125,0
2981.41796875,0
2982.23828125,128
2983.0234375,128
2983.80859375,128
2984.6015625,128
2985.3828125,128
2986.1953125,128
2987.14453125,0
2988.13671875,0
2989.34375,0
2990.51171875,0
2991.62890625,0
2992.84765625,0
2994.03515625,0
2995.1328125,0
2996.28125,0
2997.4765625,0
2998.6171875,0
2999.76171875,0
3000.9609375,0
3002.1640625,0
3003.28515625,0
3004.421875,0
3005.59765625,0
3006.69921875,0
3007.63671875,0
3008.40625,128
3009.17578125,128
3010.0703125,0
3011.33203125,0
3012.30078125,0
3013.66015625,0
3014.76171875,0
3015.640625,0
3016.4609375,128
3017.3984375,0
3018.51953125,0
3019.703125,0
3020.76171875,0
3021.8515625,0
3022.98046875,0
3024.02734375,0
3024.9921875,0
3026.08984375,0
3027.1875,0
3028.0703125,0
3028.8984375,128
3029.796875,0
3030.94140625,0
3032.0234375,0
3033.03125,0
3034.02734375,0
3035.0625,0
3036.02734375,0
3037.01171875,0
3038.05078125,0
3039.06640625,0
3040.0,0
3041.05078125,0
3042.03515625,0
3043.0078125,0
3043.89453125,0
3044.8359375,0
3045.8359375,0
3046.88671875,0
3047.828125,0
3048.83203125,0
3049.8671875,0
3050.81640625,0
3051.6875,0
3052.65234375,0
3053.63671875,0
3054.63671875,0
3055.5546875,0
3056.40234375,0
3057.32421875,0
3058.390625,0
3059.4453125,0
3060.48046875,0
3061.51953125,0
3062.48046875,0
3063.33984375,0
3064.16796875,0
3065.03515625,0
3065.9609375,0
3066.8046875,0
3067.6953125,0
3068.6953125,0
3069.6640625,0
3070.453125,0
3071.20703125,0
3071.96875,0
3072.734375,0
3073.48828125,0
3074.21875,0
3074.99609375,0
3075.87109375,0
3076.796875,0
3077.7421875,0
3078.71484375,0
3079.625,0
3080.60546875,0
3081.61328125,0
3082.51171875,0
3083.39453125,0
3084.28515625,0
3085.16015625,0
3085.97265625,0
3086.80078125,0
3087.68359375,0
3088.578125,0
3089.4140625,0
3090.26953125,0
3091.140625,0
3092.0390625,0
