time [s],NN_interval [s/256](/api/datatype/318/)
17358.5625,222
17359.44921875,227
17362.58203125,262
17364.5078125,251
17366.515625,257
17367.37890625,221
17368.94140625,194
17369.68359375,190
17370.421875,189
17371.1328125,182
17371.8515625,184
17372.6953125,216
17374.6328125,251
17375.70703125,275
17376.7265625,261
17378.5625,233
17379.49609375,239
17380.484375,253
17381.44140625,245
17383.31640625,252
17385.41015625,268
17387.41796875,271
17389.421875,254
17390.37109375,243
17391.41796875,268
17395.265625,244
17397.21875,245
17399.0546875,245
17401.0546875,260
17401.97265625,235
17402.9765625,257
17405.01171875,258
17412.375,221
17417.03125,217
17419.94921875,251
17422.0390625,274
17423.09375,270
17424.98046875,244
17432.125,266
17433.97265625,234
17436.85546875,240
17437.796875,241
17438.828125,264
17439.87890625,269
17440.84765625,248
17442.69921875,244
17444.73046875,256
17446.58984375,246
17448.640625,266
17449.65625,260
17450.7421875,278
17451.86328125,287
17452.8671875,257
17454.79296875,252
17456.69140625,236
17457.6328125,241
17465.01171875,245
17466.9140625,248
17468.93359375,250
17470.77734375,242
17472.70703125,243
17474.46875,230
17476.46484375,263
17477.375,233
17479.23828125,248
17481.26171875,240
17483.15234375,246
17485.1015625,245
17486.0078125,232
17487.03125,262
17489.1015625,262
17491.01953125,249
17493.06640625,262
17494.03125,247
17495.015625,252
17496.03125,260
17497.10546875,275
17498.1171875,259
17499.9921875,243
17501.921875,236
17503.84765625,261
17505.89453125,248
17507.90234375,265
17508.921875,261
17510.81640625,247
17511.7421875,237
17512.6875,242
17513.58203125,229
17514.46875,227
17515.37109375,231
17516.328125,245
17517.2265625,230
17518.19140625,247
17520.296875,271
17522.28515625,260
17524.40234375,267
17528.00390625,235
17528.8671875,221
17529.83203125,247
17531.9609375,253
17533.8046875,240
17535.74609375,251
17536.66015625,234
17537.68359375,262
17539.77734375,258
17541.71875,260
17543.76953125,252
17545.56640625,229
17549.63671875,264
17551.625,239
17555.54296875,245
17557.515625,260
17558.578125,272
17559.5234375,242
17561.46875,257
17563.546875,247
17568.90234375,266
17570.98828125,267
17571.8984375,233
17572.87890625,251
17574.93359375,253
17576.86328125,249
17577.8359375,249
17578.74609375,233
17579.59765625,218
17580.51953125,236
17582.52734375,255
17584.42578125,246
17585.25390625,212
17586.8125,198
17587.56640625,193
17588.29296875,186
17589.0546875,195
17592.828125,242
17593.8515625,262
17594.8125,246
17595.7734375,246
17596.8125,266
17599.00390625,271
17601.18359375,295
17603.5,282
17605.5859375,273
