time [s],inspiration [s](/api/datatype/34/)
12537.2578125,26838
12541.8515625,26840
12545.9140625,26840
12548.015625,26856
12554.21875,26970
12557.3359375,27029
12561.453125,26863
12565.8515625,26865
12570.1640625,26866
12574.609375,26868
12577.984375,26867
12582.4921875,26867
12586.34375,26868
12590.4765625,26941
12592.8828125,26910
12601.3984375,26903
12604.40625,26887
12610.0078125,26970
12615.234375,26898
12617.609375,26889
12623.9453125,26873
12628.109375,26882
12631.4453125,26895
12636.8515625,26891
12640.890625,26886
12645.046875,26877
12648.4921875,26875
12657.7734375,26864
12672.859375,26861
12680.40625,26889
12689.5,26859
12693.921875,26872
12699.2421875,26851
12703.03125,26857
12706.921875,26855
12711.1484375,26860
12714.75,26860
12719.15625,26860
12723.1796875,26861
12727.859375,26862
12732.078125,26861
12737.0,26869
12742.8046875,26872
12747.4375,26877
12752.1640625,26920
12754.6640625,26910
12759.359375,26875
12764.25,26877
12768.1328125,26873
12772.6796875,26874
12777.125,26874
12782.109375,26875
12786.1953125,26877
12791.015625,26874
12794.6953125,26868
12798.5078125,26870
12802.3671875,26872
12806.3203125,26873
12810.59375,26874
12814.21875,26874
12818.6484375,26873
12822.6640625,26874
12826.703125,26877
12830.3828125,26885
12834.6171875,26877
12838.734375,26877
12843.453125,26879
12847.9609375,26878
12852.046875,26878
12855.453125,26883
12859.5625,26876
12863.3515625,26876
12867.0390625,26879
12870.8046875,26875
12874.09375,26884
12878.2578125,26879
12881.1796875,26882
12885.609375,26879
12888.8984375,26879
12892.4140625,26877
12896.3984375,26877
12900.2265625,26878
12903.9140625,26879
12907.84375,26881
12911.6015625,26877
12917.0,26885
12920.6875,26877
12924.2890625,26877
12929.265625,26891
12931.6796875,26896
12936.421875,26882
12939.46875,26880
12944.3984375,26880
12949.484375,26872
12953.6953125,26878
12957.6875,26880
12961.9921875,26878
12965.25,26900
12970.765625,26865
12974.34375,26864
12978.703125,26877
12982.34375,26875
12987.5,26866
12991.1796875,26871
12994.9453125,26872
12998.9765625,26875
13003.2265625,26874
13007.5546875,26875
13011.7109375,26877
13015.765625,26877
13022.0625,26875
13026.0546875,26878
13031.3203125,26878
13036.796875,26878
13041.2109375,26884
13044.921875,26880
13049.2109375,26877
13051.7109375,26900
13060.8984375,26972
13069.1875,26870
13073.21875,26877
13076.296875,26893
13079.5234375,27031
13084.9140625,26889
13087.609375,26913
13091.140625,26897
13095.0546875,26911
13098.28125,26921
13103.2421875,27013
13106.5625,26934
13110.2421875,26927
13114.8046875,26933
13118.2109375,26923
13121.75,26925
13125.3984375,26930
13129.875,26923
13133.7109375,26922
13137.265625,26929
13140.90625,26928
13146.5703125,26947
13149.34375,26927
13155.1953125,26900
13161.984375,26892
13166.28125,26893
13171.734375,26917
13176.578125,26898
13179.8671875,26901
13185.4765625,26894
13189.2421875,26897
13194.734375,26893
13198.2578125,26890
13202.3125,26890
13206.578125,26894
13210.1796875,26891
13214.1953125,26889
13218.96875,26905
13223.046875,26906
13227.6171875,26922
13230.765625,26904
13235.234375,26896
13238.7265625,26896
13242.890625,26905
13247.2890625,26896
13251.0625,26908
13254.4765625,26897
13258.421875,26896
13262.078125,26895
13266.8125,26901
13270.6640625,26907
13274.6171875,26915
13278.3046875,26911
13282.0234375,26914
13286.71875,26901
13290.3515625,26903
13293.9296875,26901
13298.1484375,26899
13303.046875,26907
13307.1015625,26917
13309.046875,26960
13315.796875,26924
13320.1015625,26925
13324.515625,26930
13328.0703125,26926
13331.671875,26913
13335.3046875,26918
13339.453125,26894
13343.25,26888
13347.34375,26893
13350.7421875,26891
13354.71875,26892
13358.7578125,26893
13362.5234375,26894
13366.21875,26892
13370.4375,26893
13374.28125,26894
13378.3515625,26898
13382.328125,26915
13386.03125,26910
13389.0859375,26908
13393.4453125,26897
13397.6640625,26896
13401.03125,26908
13404.84375,26924
13409.359375,26907
13412.03125,26918
13416.53125,26907
13420.0,26902
13422.9609375,26919
13428.4609375,26902
13432.78125,26900
13435.8671875,26901
13441.4453125,26910
13445.7578125,26903
13449.8671875,26918
13454.9765625,26906
13462.5078125,26909
13467.75,26919
13473.71875,26918
13477.59375,26911
13481.8515625,26911
13485.859375,26899
13489.828125,26905
13494.453125,26901
13498.2421875,26897
13502.859375,26902
13506.71875,26898
13511.203125,26894
13515.3125,26894
13519.46875,26894
13523.6484375,26913
13527.546875,26917
13532.203125,26898
13536.1875,26898
13539.875,26896
13542.984375,26898
13547.7578125,26897
13551.6953125,26898
13556.0078125,26899
13559.484375,26898
13563.328125,26898
13567.875,26899
13571.7109375,26898
13575.0078125,26897
13579.5078125,26901
13583.296875,26902
13587.1640625,27028
13589.515625,27004
13593.96875,26936
13597.59375,26927
13601.6953125,26924
13605.5390625,26936
13609.9765625,26936
13614.3203125,26918
13618.8046875,26919
13621.8203125,26952
13625.5703125,26941
13630.28125,26914
13634.0546875,26919
13637.9453125,26907
13642.1640625,26909
13645.8984375,26913
13649.7734375,26913
13654.125,26911
13657.8359375,26914
13661.9296875,26987
13666.8984375,26955
13670.6171875,26917
13675.0078125,26914
13679.4609375,26933
13683.34375,26920
13688.0625,26951
13691.828125,26939
13695.71875,26918
13698.671875,26919
13713.8125,26900
13723.203125,26896
13727.1640625,26904
13730.640625,26902
13735.15625,26905
13739.09375,26901
13742.28125,26898
13746.5859375,26898
13749.578125,26931
13753.859375,26935
13757.1328125,26909
13762.3125,26923
13766.5390625,26924
13769.59375,26944
13773.75,26928
13778.0703125,26930
13783.0390625,26932
13787.3671875,26933
13791.703125,26932
13798.8203125,26970
13802.28125,26967
13806.7890625,26958
13811.4375,26958
13814.671875,26942
13817.921875,26948
13822.6953125,26964
13826.0625,26920
13831.046875,26911
13834.796875,26912
13840.3984375,27023
13847.3828125,26955
13851.8671875,26953
13855.5859375,26980
13860.546875,26963
13864.375,26958
13868.515625,26994
13871.3671875,26968
13879.953125,26971
13883.0625,26984
13889.09375,26959
13894.234375,26960
13898.875,26971
13906.6015625,26992
13910.609375,26967
13914.8828125,26967
13917.9296875,26964
13922.5703125,26957
13928.484375,26966
13933.9453125,26960
13943.25,27004
13975.7890625,26930
13980.453125,26932
13984.359375,26937
13988.328125,26958
13996.28125,26952
14000.7890625,26927
14006.9765625,26929
14012.734375,26939
14017.734375,26928
14022.03125,27026
14025.0703125,27012
14029.6015625,26964
14033.265625,26957
14037.3125,26948
14040.09375,26968
14044.390625,26998
14047.8671875,26911
14052.0234375,26960
14055.171875,26952
14059.640625,26962
14063.8125,26962
14066.671875,26967
14074.0546875,26955
14078.109375,26956
14082.890625,26954
14086.7421875,26953
14091.1015625,26954
14095.203125,26953
14098.6640625,26954
14103.2734375,26955
14106.9375,26964
14109.6953125,26953
14113.5234375,26945
14116.03125,26951
14117.9921875,26946
14123.1015625,27039
14124.828125,27039
14129.1640625,27095
14131.5,27089
14132.8984375,27108
14136.453125,27104
14142.6875,27137
14147.7421875,27158
14151.8046875,27142
14158.3046875,27170
14169.3984375,27079
14175.6015625,27175
14187.5078125,27129
14190.6796875,27126
14198.3828125,27193
14201.96875,27145
14205.71875,27114
14211.59375,27124
14218.9375,27154
14229.484375,27173
14235.6953125,27126
14248.2265625,26886
14255.9140625,26922
14265.734375,26945
14275.953125,26950
14290.5234375,26943
14309.3359375,26955
14316.2109375,26976
14332.609375,26997
14345.8984375,27003
14350.0078125,27012
14358.28125,27017
14362.4765625,27039
14366.265625,26948
14370.5625,26970
14374.3359375,26961
14378.65625,26965
14381.171875,26919
14385.4765625,26930
14389.203125,26927
14391.9765625,26921
14396.609375,26902
14400.53125,26900
14404.25,26898
14408.125,26896
14412.1328125,26896
14416.0,26895
14420.359375,26896
14424.875,26896
14427.890625,26938
14431.5,26936
14435.0546875,26922
14439.0546875,26916
14442.734375,26993
14446.4375,26977
14450.2734375,26988
14453.4375,26992
14458.46875,26958
14460.4765625,26934
14465.4375,26943
14469.609375,26923
14473.5078125,26922
14479.296875,26844
14481.1875,26838
14488.1875,26898
14498.046875,26910
14503.6875,26863
14520.6328125,27012
14527.2890625,27081
14536.484375,27078
14540.984375,27154
14545.2578125,27155
14558.390625,27168
14576.53125,27180
14582.4296875,27177
14588.6171875,27171
14592.578125,27139
14600.3515625,27150
14616.875,27133
14626.890625,27087
14635.859375,27205
14647.84375,27081
14652.171875,27096
14661.8125,27080
14668.53125,27085
14672.6015625,27064
14676.0078125,27096
14680.7734375,27073
14684.5078125,27074
14687.6015625,27092
14690.796875,27077
14693.296875,27075
14699.4609375,27060
14702.6484375,27052
14705.7578125,27084
14708.2890625,27076
14712.40625,27074
14714.6328125,27113
14718.5078125,27102
14720.5625,27040
14722.3828125,27101
14724.734375,27077
14727.5078125,27070
14730.4765625,27080
14734.90625,27131
14740.3046875,27071
14743.359375,27108
14745.5625,27092
14748.75,27080
14752.578125,27114
14758.546875,27112
14761.5859375,27099
14764.8671875,27102
14767.859375,27106
14770.65625,27094
14774.734375,27081
14777.7890625,27054
14781.53125,27109
14784.890625,27034
14787.515625,27078
14789.875,27062
14793.234375,27065
14795.5625,27066
14798.3828125,27090
14803.7109375,27093
14809.3515625,27096
14813.4921875,27093
14817.0859375,27089
14820.3671875,27088
14823.546875,27095
14826.8046875,27085
14829.453125,27071
14831.90625,26970
14834.9375,26971
14837.2578125,26965
14841.5234375,26968
14846.8828125,26959
14849.09375,26949
14853.546875,26945
14856.609375,26943
14859.859375,26943
14863.0546875,26944
14866.5859375,26942
14871.140625,26952
14874.4375,26948
14877.75,26939
14881.234375,26915
14884.4765625,26913
14887.78125,26909
14891.046875,26903
14896.140625,26915
14900.359375,26910
14904.0859375,26909
14907.9140625,26902
14911.6640625,26906
14915.5859375,26905
14919.34375,26902
14923.6171875,26905
14928.875,26909
14932.2109375,26922
14935.6171875,26877
14940.0546875,26876
14943.5234375,26876
14948.7421875,26888
14952.484375,26905
14956.0,26916
14959.578125,26906
14965.3828125,26915
14969.125,26910
14972.8828125,26910
14976.84375,26914
14980.9921875,26915
14984.5625,26915
14989.5546875,26920
14994.1640625,26925
14998.0234375,26923
15001.734375,26917
15005.546875,26978
15008.390625,26966
15013.4921875,26955
15017.40625,26886
15021.40625,26937
15024.59375,26968
15029.2109375,26943
15035.703125,26927
15039.9296875,26922
15044.6484375,26912
15047.90625,26918
15054.3046875,26916
15057.5234375,26924
