time [s],minute_ventilation_raw [ml/min] (/api/datatype/36/)
7846.00000000,2974.72000
7847.00000000,2974.72000
7848.00000000,2974.72000
7849.00000000,2974.72000
7850.00000000,2974.72000
7851.00000000,3054.40000
7852.00000000,3054.40000
7853.00000000,3054.40000
7854.00000000,3054.40000
7855.00000000,3054.40000
7856.00000000,3054.40000
7857.00000000,3054.40000
7858.00000000,2868.48000
7859.00000000,2868.48000
7860.00000000,2868.48000
7861.00000000,2868.48000
7862.00000000,2868.48000
7863.00000000,2868.48000
7864.00000000,2616.16000
7865.00000000,2616.16000
7866.00000000,2616.16000
7867.00000000,2616.16000
7868.00000000,2616.16000
7869.00000000,2616.16000
7870.00000000,2616.16000
7871.00000000,2616.16000
7872.00000000,2616.16000
7873.00000000,2616.16000
7874.00000000,2217.76000
7875.00000000,2217.76000
7876.00000000,2217.76000
7877.00000000,2217.76000
7878.00000000,2217.76000
7879.00000000,2217.76000
7880.00000000,2071.68000
7881.00000000,2071.68000
7882.00000000,2071.68000
7883.00000000,2071.68000
7884.00000000,2045.12000
7885.00000000,2045.12000
7886.00000000,2045.12000
7887.00000000,2045.12000
7888.00000000,1965.44000
7889.00000000,1965.44000
7890.00000000,1965.44000
7891.00000000,2337.28000
7892.00000000,2337.28000
7893.00000000,2337.28000
7894.00000000,2669.28000
7895.00000000,2669.28000
7896.00000000,2669.28000
7897.00000000,2629.44000
7898.00000000,2629.44000
7899.00000000,3333.28000
7900.00000000,3333.28000
7901.00000000,3333.28000
7902.00000000,3333.28000
7903.00000000,3333.28000
7904.00000000,3333.28000
7905.00000000,3466.08000
7906.00000000,3466.08000
7907.00000000,3120.80000
7908.00000000,3120.80000
7909.00000000,3120.80000
7910.00000000,3120.80000
7911.00000000,3120.80000
7912.00000000,3426.24000
7913.00000000,3426.24000
7914.00000000,3426.24000
7915.00000000,3426.24000
7916.00000000,3426.24000
7917.00000000,3426.24000
7918.00000000,2722.40000
7919.00000000,2722.40000
7920.00000000,2722.40000
7921.00000000,2602.88000
7922.00000000,2602.88000
7923.00000000,3253.60000
7924.00000000,3253.60000
7925.00000000,3253.60000
7926.00000000,3253.60000
7927.00000000,3253.60000
7928.00000000,3253.60000
7929.00000000,3253.60000
7930.00000000,3253.60000
7931.00000000,3253.60000
7932.00000000,3466.08000
7933.00000000,3466.08000
7934.00000000,3466.08000
7935.00000000,3466.08000
7936.00000000,3466.08000
7937.00000000,3466.08000
7938.00000000,4993.28000
7939.00000000,4993.28000
7940.00000000,4993.28000
7941.00000000,4993.28000
7942.00000000,4993.28000
7943.00000000,4993.28000
7944.00000000,4993.28000
7945.00000000,4993.28000
7946.00000000,4993.28000
7947.00000000,4993.28000
7948.00000000,4993.28000
7949.00000000,4993.28000
7950.00000000,4993.28000
7951.00000000,4993.28000
7952.00000000,3744.96000
7953.00000000,3744.96000
7954.00000000,3744.96000
7955.00000000,3744.96000
7956.00000000,3744.96000
7957.00000000,3744.96000
7958.00000000,3744.96000
7959.00000000,3744.96000
7960.00000000,3744.96000
7961.00000000,3744.96000
7962.00000000,3744.96000
7963.00000000,3744.96000
7964.00000000,3744.96000
7965.00000000,3744.96000
7966.00000000,3744.96000
7967.00000000,3744.96000
7968.00000000,3744.96000
7969.00000000,3744.96000
7970.00000000,3744.96000
7971.00000000,3744.96000
7972.00000000,3744.96000
7973.00000000,2855.20000
7974.00000000,2855.20000
7975.00000000,2855.20000
7976.00000000,2855.20000
7977.00000000,2855.20000
7978.00000000,2855.20000
7979.00000000,2855.20000
7980.00000000,2855.20000
