time [s],inspiration_epoch [na] (/api/datatype/34/)
7746.00000000,16076
7757.00000000,16085
7771.00000000,16081
7776.00000000,16083
7781.00000000,16076
7785.00000000,16080
7793.00000000,16079
7798.00000000,16081
7806.00000000,16074
7811.00000000,16082
7816.00000000,16066
7820.00000000,16080
7836.00000000,16088
7841.00000000,16079
7844.00000000,16074
7852.00000000,16082
7858.00000000,16080
7867.00000000,16081
7877.00000000,16081
7880.00000000,16100
7884.00000000,16091
7888.00000000,16091
7890.00000000,16073
7893.00000000,16071
7897.00000000,16071
7899.00000000,16078
7904.00000000,16072
7907.00000000,16078
7914.00000000,16079
7918.00000000,16074
7920.00000000,16101
7927.00000000,16140
7932.00000000,16124
7942.00000000,16081
7951.00000000,16081
7979.00000000,16067
7990.00000000,16070
7995.00000000,16062
8000.00000000,16070
8010.00000000,16065
8020.00000000,16071
8025.00000000,16078
8038.00000000,16075
8043.00000000,16089
8049.00000000,16100
8055.00000000,16099
8067.00000000,16083
8070.00000000,16084
8074.00000000,16076
8078.00000000,16080
8081.00000000,16092
8088.00000000,16077
8095.00000000,16087
8103.00000000,16146
8110.00000000,16131
8115.00000000,16120
8123.00000000,16125
8131.00000000,16120
8138.00000000,16110
8148.00000000,16108
8152.00000000,16107
8155.00000000,16106
8159.00000000,16106
8162.00000000,16106
8166.00000000,16105
8172.00000000,16150
8177.00000000,16118
8184.00000000,16115
8188.00000000,16114
8191.00000000,16122
8194.00000000,16122
8197.00000000,16121
8200.00000000,16119
8203.00000000,16116
8211.00000000,16118
8220.00000000,16117
8222.00000000,16119
8226.00000000,16145
8231.00000000,16129
8237.00000000,16112
8239.00000000,16127
8243.00000000,16126
8252.00000000,16126
8258.00000000,16123
8261.00000000,16121
8268.00000000,16122
8277.00000000,16124
8283.00000000,16120
8286.00000000,16119
8290.00000000,16118
8296.00000000,16120
8299.00000000,16119
8308.00000000,16124
8310.00000000,16131
8316.00000000,16126
8318.00000000,16115
8320.00000000,16124
8324.00000000,16120
8326.00000000,16116
8331.00000000,16128
8343.00000000,16122
8349.00000000,16107
8352.00000000,16118
8354.00000000,16178
8357.00000000,16144
8364.00000000,16141
8367.00000000,16140
8379.00000000,16133
8382.00000000,16135
8387.00000000,16142
8392.00000000,16113
8395.00000000,16111
8397.00000000,16217
8401.00000000,16177
8404.00000000,16176
8406.00000000,16174
8410.00000000,16172
8418.00000000,16168
8421.00000000,16168
8425.00000000,16166
8429.00000000,16165
8432.00000000,16164
8435.00000000,16163
8438.00000000,16162
8441.00000000,16162
8444.00000000,16160
8446.00000000,16188
8448.00000000,16119
8451.00000000,16105
8452.00000000,16098
8453.00000000,16092
8454.00000000,16095
8455.00000000,16095
8456.00000000,16100
8457.00000000,16094
8458.00000000,16115
8458.00000000,16106
8459.00000000,16107
8459.00000000,16091
8460.00000000,16090
8460.00000000,16091
8462.00000000,16159
8465.00000000,16173
8469.00000000,16228
8471.00000000,16082
8473.00000000,16162
8479.00000000,16137
8480.00000000,16130
8513.00000000,16161
8522.00000000,16142
8526.00000000,16134
8533.00000000,16127
8539.00000000,16139
8547.00000000,16167
8558.00000000,16168
8564.00000000,16168
8582.00000000,16160
8589.00000000,16144
8594.00000000,16194
8597.00000000,16174
8606.00000000,16187
8613.00000000,16092
8617.00000000,16090
8620.00000000,16106
8624.00000000,16229
8626.00000000,16093
8630.00000000,16110
8635.00000000,16135
8661.00000000,16158
8694.00000000,16163
8707.00000000,16175
8719.00000000,16170
8752.00000000,16163
8760.00000000,16162
8766.00000000,16165
8772.00000000,16162
8782.00000000,16173
8794.00000000,16150
8800.00000000,16165
8808.00000000,16151
8826.00000000,16158
8846.00000000,16153
8853.00000000,16149
8866.00000000,16153
8871.00000000,16169
8878.00000000,16105
8885.00000000,16094
8894.00000000,16141
8902.00000000,16127
8923.00000000,16127
8947.00000000,16126
8977.00000000,16120
8983.00000000,16120
9000.00000000,16117
9010.00000000,16118
9014.00000000,16117
9018.00000000,16116
9031.00000000,16111
9038.00000000,16111
9042.00000000,16113
9045.00000000,16113
9049.00000000,16115
9051.00000000,16114
9054.00000000,16112
9057.00000000,16112
9061.00000000,16114
9064.00000000,16115
9068.00000000,16114
9070.00000000,16114
9074.00000000,16114
9082.00000000,16113
9088.00000000,16117
9092.00000000,16115
9094.00000000,16114
9098.00000000,16116
9101.00000000,16115
9109.00000000,16115
9116.00000000,16115
9119.00000000,16114
9123.00000000,16114
9125.00000000,16114
9128.00000000,16113
9134.00000000,16114
9138.00000000,16129
9150.00000000,16121
9155.00000000,16120
9159.00000000,16121
9162.00000000,16121
9167.00000000,16121
9171.00000000,16121
9175.00000000,16120
9181.00000000,16125
9183.00000000,16121
9188.00000000,16122
9192.00000000,16121
9196.00000000,16120
9200.00000000,16120
9203.00000000,16120
9207.00000000,16120
9210.00000000,16121
9214.00000000,16121
9217.00000000,16122
9220.00000000,16121
9223.00000000,16121
9230.00000000,16122
9234.00000000,16121
9237.00000000,16123
9242.00000000,16123
9245.00000000,16123
9249.00000000,16123
9257.00000000,16124
9266.00000000,16130
9273.00000000,16126
9276.00000000,16125
9281.00000000,16124
9284.00000000,16123
9287.00000000,16123
9294.00000000,16128
9301.00000000,16129
9319.00000000,16199
9324.00000000,16147
9334.00000000,16142
9339.00000000,16143
9350.00000000,16142
9359.00000000,16141
9371.00000000,16140
9382.00000000,16138
9396.00000000,16142
9404.00000000,16142
9412.00000000,16165
9417.00000000,16158
9423.00000000,16159
9432.00000000,16161
9446.00000000,16155
9450.00000000,16153
9455.00000000,16148
9458.00000000,16147
9462.00000000,16156
9465.00000000,16157
9473.00000000,16149
9476.00000000,16149
9480.00000000,16151
9483.00000000,16151
9489.00000000,16167
9493.00000000,16109
9495.00000000,16109
9497.00000000,16102
9502.00000000,16158
9505.00000000,16161
9516.00000000,16152
9519.00000000,16149
9521.00000000,16147
9525.00000000,16147
9527.00000000,16147
9531.00000000,16148
9533.00000000,16148
9542.00000000,16143
9548.00000000,16143
9555.00000000,16144
9558.00000000,16145
9562.00000000,16145
9568.00000000,16144
9571.00000000,16144
9574.00000000,16144
9578.00000000,16145
9586.00000000,16144
9589.00000000,16143
9593.00000000,16143
9602.00000000,16143
9606.00000000,16145
9608.00000000,16145
9622.00000000,16142
9628.00000000,16143
9637.00000000,16142
9641.00000000,16142
9647.00000000,16144
9660.00000000,16144
9678.00000000,16146
9685.00000000,16144
9695.00000000,16144
9705.00000000,16148
9715.00000000,16150
9725.00000000,16150
9734.00000000,16153
9742.00000000,16066
9745.00000000,16072
9752.00000000,16097
9757.00000000,16150
9770.00000000,16139
9779.00000000,16140
9783.00000000,16139
9788.00000000,16140
9791.00000000,16139
9794.00000000,16139
