time [s],heart_rate [bpm] (/api/datatype/19/)
27500.00000000,98
27501.00000000,98
27502.00000000,98
27503.00000000,98
27504.00000000,91
27505.00000000,96
27506.00000000,96
27507.00000000,96
27508.00000000,97
27509.00000000,92
27510.00000000,93
27511.00000000,85
27512.00000000,81
27513.00000000,80
27514.00000000,78
27515.00000000,77
27516.00000000,76
27517.00000000,74
27518.00000000,74
27519.00000000,74
27520.00000000,78
27521.00000000,78
27522.00000000,78
27523.00000000,78
27524.00000000,72
27525.00000000,74
27526.00000000,72
27527.00000000,72
27528.00000000,76
27529.00000000,79
27530.00000000,80
27531.00000000,86
27532.00000000,86
27533.00000000,91
27534.00000000,98
27535.00000000,101
27536.00000000,102
27537.00000000,104
27538.00000000,104
27539.00000000,109
27540.00000000,117
27541.00000000,118
27542.00000000,118
27543.00000000,104
27544.00000000,99
27545.00000000,99
27546.00000000,99
27547.00000000,96
27548.00000000,94
27549.00000000,93
27550.00000000,91
27551.00000000,86
27552.00000000,84
27553.00000000,82
27554.00000000,82
27555.00000000,82
27556.00000000,82
27557.00000000,82
27558.00000000,82
27559.00000000,83
27560.00000000,88
27561.00000000,91
27562.00000000,89
27563.00000000,88
27564.00000000,83
27565.00000000,83
27566.00000000,76
27567.00000000,78
27568.00000000,75
27569.00000000,75
27570.00000000,70
27571.00000000,70
27572.00000000,70
27573.00000000,70
27574.00000000,66
27575.00000000,64
27576.00000000,64
27577.00000000,64
27578.00000000,62
27579.00000000,58
27580.00000000,58
27581.00000000,58
27582.00000000,58
27583.00000000,59
27584.00000000,55
27585.00000000,54
27586.00000000,54
27587.00000000,52
27588.00000000,52
27589.00000000,54
27590.00000000,56
27591.00000000,56
27592.00000000,56
27593.00000000,56
27594.00000000,56
27595.00000000,59
27596.00000000,63
27597.00000000,69
27598.00000000,69
27599.00000000,69
27600.00000000,71
27601.00000000,71
27602.00000000,77
27603.00000000,79
27604.00000000,85
27605.00000000,84
27606.00000000,89
27607.00000000,87
27608.00000000,87
27609.00000000,86
27610.00000000,86
27611.00000000,81
27612.00000000,81
27613.00000000,82
27614.00000000,82
27615.00000000,83
27616.00000000,83
27617.00000000,84
27618.00000000,84
27619.00000000,86
27620.00000000,85
27621.00000000,85
27622.00000000,84
27623.00000000,86
27624.00000000,87
27625.00000000,87
27626.00000000,89
27627.00000000,91
27628.00000000,88
27629.00000000,85
27630.00000000,84
27631.00000000,83
27632.00000000,79
27633.00000000,78
27634.00000000,76
27635.00000000,76
27636.00000000,70
27637.00000000,70
27638.00000000,68
27639.00000000,64
27640.00000000,64
27641.00000000,64
27642.00000000,63
27643.00000000,61
27644.00000000,60
27645.00000000,63
27646.00000000,67
27647.00000000,70
27648.00000000,77
27649.00000000,84
27650.00000000,84
27651.00000000,84
27652.00000000,84
27653.00000000,95
27654.00000000,107
27655.00000000,107
27656.00000000,107
27657.00000000,97
27658.00000000,95
27659.00000000,87
27660.00000000,87
27661.00000000,90
27662.00000000,72
27663.00000000,72
27664.00000000,72
27665.00000000,72
27666.00000000,72
27667.00000000,72
27668.00000000,53
27669.00000000,53
27670.00000000,53
27671.00000000,54
27672.00000000,40
27673.00000000,40
27674.00000000,40
27675.00000000,40
27676.00000000,40
27677.00000000,40
27678.00000000,40
27679.00000000,40
27680.00000000,40
27681.00000000,40
27682.00000000,40
27683.00000000,49
27684.00000000,49
27685.00000000,51
27686.00000000,51
27687.00000000,66
27688.00000000,66
27689.00000000,66
27690.00000000,66
27691.00000000,66
27692.00000000,66
27693.00000000,66
27694.00000000,66
27695.00000000,66
27696.00000000,63
27697.00000000,63
27698.00000000,63
27699.00000000,63
27700.00000000,63
27701.00000000,63
27702.00000000,63
27703.00000000,63
27704.00000000,63
27705.00000000,63
27706.00000000,63
27707.00000000,63
27708.00000000,63
27709.00000000,63
27710.00000000,63
27711.00000000,63
27712.00000000,63
27713.00000000,63
27714.00000000,63
27715.00000000,63
27716.00000000,63
27717.00000000,63
27718.00000000,63
27719.00000000,63
27720.00000000,63
27721.00000000,63
27722.00000000,63
27723.00000000,63
27724.00000000,63
27725.00000000,63
27726.00000000,63
27727.00000000,63
27728.00000000,63
27729.00000000,63
27730.00000000,63
27731.00000000,63
27732.00000000,63
27733.00000000,63
27734.00000000,63
27735.00000000,63
27736.00000000,63
27737.00000000,63
27738.00000000,63
27739.00000000,63
27740.00000000,63
27741.00000000,63
27742.00000000,63
27743.00000000,63
27744.00000000,63
27745.00000000,63
27746.00000000,63
27747.00000000,63
27748.00000000,63
27749.00000000,63
27750.00000000,63
27751.00000000,63
27752.00000000,63
27753.00000000,63
27754.00000000,63
27755.00000000,63
27756.00000000,63
27757.00000000,63
27758.00000000,63
27759.00000000,63
27760.00000000,63
27761.00000000,63
27762.00000000,63
27763.00000000,74
27764.00000000,73
27765.00000000,84
27766.00000000,81
27767.00000000,79
27768.00000000,77
27769.00000000,77
27770.00000000,76
27771.00000000,76
27772.00000000,75
27773.00000000,75
27774.00000000,74
27775.00000000,74
27776.00000000,74
27777.00000000,74
27778.00000000,71
27779.00000000,70
27780.00000000,70
27781.00000000,68
27782.00000000,69
27783.00000000,69
27784.00000000,69
27785.00000000,69
27786.00000000,69
27787.00000000,69
27788.00000000,69
27789.00000000,69
27790.00000000,69
27791.00000000,69
27792.00000000,69
27793.00000000,69
27794.00000000,69
27795.00000000,69
27796.00000000,69
27797.00000000,69
27798.00000000,69
27799.00000000,69
27800.00000000,69
27801.00000000,69
27802.00000000,69
27803.00000000,69
27804.00000000,69
27805.00000000,69
27806.00000000,69
27807.00000000,69
27808.00000000,69
27809.00000000,69
27810.00000000,69
27811.00000000,69
27812.00000000,69
27813.00000000,69
27814.00000000,69
27815.00000000,69
27816.00000000,69
27817.00000000,69
27818.00000000,69
27819.00000000,69
27820.00000000,69
27821.00000000,69
27822.00000000,69
27823.00000000,69
27824.00000000,69
27825.00000000,69
27826.00000000,69
27827.00000000,69
27828.00000000,69
27829.00000000,69
27830.00000000,69
27831.00000000,69
27832.00000000,69
27833.00000000,69
27834.00000000,69
27835.00000000,69
27836.00000000,69
27837.00000000,69
27838.00000000,69
27839.00000000,69
27840.00000000,69
27841.00000000,69
27842.00000000,69
27843.00000000,69
27844.00000000,69
27845.00000000,69
27846.00000000,69
27847.00000000,69
27848.00000000,69
27849.00000000,69
27850.00000000,69
27851.00000000,69
27852.00000000,69
27853.00000000,69
27854.00000000,69
27855.00000000,69
27856.00000000,69
27857.00000000,38
27858.00000000,38
27859.00000000,49
27860.00000000,44
27861.00000000,44
27862.00000000,44
27863.00000000,44
27864.00000000,44
27865.00000000,44
27866.00000000,44
27867.00000000,43
27868.00000000,43
27869.00000000,42
27870.00000000,42
27871.00000000,41
27872.00000000,41
27873.00000000,41
27874.00000000,41
27875.00000000,41
27876.00000000,41
27877.00000000,41
27878.00000000,41
27879.00000000,41
27880.00000000,41
27881.00000000,41
27882.00000000,41
27883.00000000,41
27884.00000000,41
27885.00000000,41
27886.00000000,41
27887.00000000,41
27888.00000000,41
27889.00000000,41
27890.00000000,41
27891.00000000,41
27892.00000000,41
27893.00000000,41
27894.00000000,41
27895.00000000,41
27896.00000000,41
27897.00000000,41
27898.00000000,41
27899.00000000,41
27900.00000000,41
27901.00000000,41
27902.00000000,78
27903.00000000,51
27904.00000000,51
27905.00000000,58
27906.00000000,53
27907.00000000,53
27908.00000000,54
27909.00000000,54
27910.00000000,54
27911.00000000,60
27912.00000000,62
27913.00000000,62
27914.00000000,62
27915.00000000,63
27916.00000000,64
27917.00000000,65
27918.00000000,65
27919.00000000,66
27920.00000000,66
27921.00000000,70
27922.00000000,75
27923.00000000,74
27924.00000000,76
27925.00000000,76
27926.00000000,76
27927.00000000,74
27928.00000000,73
27929.00000000,73
27930.00000000,73
27931.00000000,73
27932.00000000,73
27933.00000000,73
27934.00000000,73
27935.00000000,73
27936.00000000,73
27937.00000000,73
27938.00000000,73
27939.00000000,73
27940.00000000,73
27941.00000000,73
27942.00000000,73
27943.00000000,74
27944.00000000,74
27945.00000000,74
27946.00000000,74
27947.00000000,74
27948.00000000,74
27949.00000000,74
27950.00000000,74
27951.00000000,74
27952.00000000,74
27953.00000000,74
27954.00000000,74
27955.00000000,71
27956.00000000,72
27957.00000000,72
27958.00000000,72
27959.00000000,72
27960.00000000,72
27961.00000000,72
27962.00000000,72
27963.00000000,72
27964.00000000,72
27965.00000000,72
27966.00000000,72
27967.00000000,72
27968.00000000,72
27969.00000000,72
27970.00000000,72
27971.00000000,72
27972.00000000,72
27973.00000000,72
27974.00000000,72
27975.00000000,72
27976.00000000,72
27977.00000000,72
27978.00000000,72
27979.00000000,72
27980.00000000,72
27981.00000000,72
27982.00000000,72
27983.00000000,72
27984.00000000,72
27985.00000000,72
27986.00000000,72
27987.00000000,72
27988.00000000,72
27989.00000000,72
27990.00000000,72
27991.00000000,72
27992.00000000,72
27993.00000000,72
27994.00000000,72
27995.00000000,72
27996.00000000,72
27997.00000000,72
27998.00000000,72
27999.00000000,72
28000.00000000,72
28001.00000000,72
28002.00000000,72
28003.00000000,72
28004.00000000,72
28005.00000000,72
28006.00000000,72
28007.00000000,72
28008.00000000,72
28009.00000000,72
28010.00000000,72
28011.00000000,72
28012.00000000,72
28013.00000000,72
28014.00000000,72
28015.00000000,72
28016.00000000,72
28017.00000000,74
28018.00000000,74
28019.00000000,74
28020.00000000,74
28021.00000000,74
28022.00000000,74
28023.00000000,74
28024.00000000,74
28025.00000000,74
28026.00000000,74
28027.00000000,74
28028.00000000,74
28029.00000000,74
28030.00000000,74
28031.00000000,74
28032.00000000,74
28033.00000000,74
28034.00000000,74
28035.00000000,74
28036.00000000,74
28037.00000000,74
28038.00000000,74
28039.00000000,74
28040.00000000,74
28041.00000000,74
28042.00000000,74
28043.00000000,74
28044.00000000,74
28045.00000000,74
28046.00000000,36
28047.00000000,36
28048.00000000,36
28049.00000000,36
28050.00000000,36
28051.00000000,36
28052.00000000,36
28053.00000000,36
28054.00000000,36
28055.00000000,36
28056.00000000,36
28057.00000000,36
28058.00000000,36
28059.00000000,36
28060.00000000,36
28061.00000000,36
28062.00000000,36
28063.00000000,36
28064.00000000,36
28065.00000000,36
28066.00000000,36
28067.00000000,36
28068.00000000,36
28069.00000000,36
28070.00000000,36
28071.00000000,36
28072.00000000,36
28073.00000000,36
28074.00000000,36
28075.00000000,36
28076.00000000,36
28077.00000000,36
28078.00000000,36
28079.00000000,36
28080.00000000,36
28081.00000000,36
28082.00000000,36
28083.00000000,36
28084.00000000,36
28085.00000000,36
28086.00000000,39
28087.00000000,39
28088.00000000,39
28089.00000000,39
28090.00000000,39
28091.00000000,39
28092.00000000,39
28093.00000000,53
28094.00000000,60
28095.00000000,65
28096.00000000,65
28097.00000000,65
28098.00000000,72
28099.00000000,80
28100.00000000,81
